[INGEST]    Connecting to Wikipedia SSE stream...
[BOT  ]    commons.wikimedia.org | drift=0.76ms | exec=0.02ms | total=0.78ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=0.15ms | exec=0.01ms | total=0.16ms | DEADLINE MET 
[BOT  ]    meta.wikimedia.org | drift=0.08ms | exec=0.00ms | total=0.08ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=9.94ms | exec=0.04ms | total=9.98ms | DEADLINE MISS
[HUMAN]    en.wikipedia.org | drift=1.92ms | exec=0.01ms | total=1.93ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=1.08ms | exec=0.00ms | total=1.08ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=1.36ms | exec=0.00ms | total=1.36ms | DEADLINE MET 
[HUMAN]    www.wikidata.org | drift=1.15ms | exec=0.04ms | total=1.18ms | DEADLINE MET 
[BOT  ]    www.wikidata.org | drift=0.30ms | exec=0.00ms | total=0.31ms | DEADLINE MET 
[BOT  ]    ur.wikipedia.org | drift=3.00ms | exec=0.02ms | total=3.02ms | DEADLINE MISS
[HUMAN]    commons.wikimedia.org | drift=0.21ms | exec=0.01ms | total=0.22ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=1.63ms | exec=0.01ms | total=1.64ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=1.23ms | exec=0.01ms | total=1.24ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=0.08ms | exec=0.00ms | total=0.08ms | DEADLINE MET 
[BOT  ]    id.wikipedia.org | drift=0.39ms | exec=0.00ms | total=0.40ms | DEADLINE MET 
[BOT  ]    en.wiktionary.org | drift=15.62ms | exec=0.06ms | total=15.68ms | DEADLINE MISS
[HUMAN]    commons.wikimedia.org | drift=0.85ms | exec=0.01ms | total=0.86ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=0.12ms | exec=0.01ms | total=0.13ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=0.50ms | exec=0.01ms | total=0.50ms | DEADLINE MET 
[BOT  ]    sr.wikipedia.org | drift=3.90ms | exec=0.02ms | total=3.92ms | DEADLINE MISS
[HUMAN]    commons.wikimedia.org | drift=0.71ms | exec=0.01ms | total=0.72ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=0.43ms | exec=0.00ms | total=0.44ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=0.23ms | exec=0.00ms | total=0.23ms | DEADLINE MET 
[BOT  ]    ar.wikipedia.org | drift=0.18ms | exec=0.01ms | total=0.19ms | DEADLINE MET 
[HUMAN]    vi.wikipedia.org | drift=2.79ms | exec=0.01ms | total=2.80ms | DEADLINE MISS
[HUMAN]    en.wikipedia.org | drift=1.66ms | exec=0.11ms | total=1.77ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=3.41ms | exec=0.03ms | total=3.44ms | DEADLINE MISS
[BOT  ]    commons.wikimedia.org | drift=5.68ms | exec=0.01ms | total=5.69ms | DEADLINE MISS
[BOT  ]    commons.wikimedia.org | drift=2.07ms | exec=0.01ms | total=2.08ms | DEADLINE MISS
[HUMAN]    commons.wikimedia.org | drift=4.84ms | exec=0.02ms | total=4.86ms | DEADLINE MISS
[BOT  ]    commons.wikimedia.org | drift=1.68ms | exec=0.01ms | total=1.69ms | DEADLINE MET 
[BOT  ]    www.wikidata.org | drift=0.77ms | exec=0.02ms | total=0.80ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=14.40ms | exec=0.02ms | total=14.42ms | DEADLINE MISS
[HUMAN]    commons.wikimedia.org | drift=2.06ms | exec=0.01ms | total=2.08ms | DEADLINE MISS
[HUMAN]    en.wikipedia.org | drift=1.31ms | exec=0.01ms | total=1.32ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=0.08ms | exec=0.01ms | total=0.09ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=0.40ms | exec=0.00ms | total=0.40ms | DEADLINE MET 
