[INGEST]    Connecting to Wikipedia SSE stream...
[HUMAN]    commons.wikimedia.org | drift=0.18ms | exec=0.10ms | total=0.28ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=1.04ms | exec=0.13ms | total=1.17ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=0.95ms | exec=0.10ms | total=1.05ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=1.02ms | exec=0.23ms | total=1.25ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=1.02ms | exec=0.16ms | total=1.18ms | DEADLINE MET 
[HUMAN]    es.wikipedia.org | drift=1.80ms | exec=0.13ms | total=1.93ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=0.64ms | exec=0.14ms | total=0.78ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=0.83ms | exec=0.18ms | total=1.01ms | DEADLINE MET 
[BOT  ]    www.wikidata.org | drift=1.89ms | exec=0.20ms | total=2.08ms | DEADLINE MISS
[HUMAN]    en.wikipedia.org | drift=0.06ms | exec=0.13ms | total=0.19ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=0.92ms | exec=0.17ms | total=1.09ms | DEADLINE MET 
[BOT  ]    en.wiktionary.org | drift=10.62ms | exec=0.30ms | total=10.92ms | DEADLINE MISS
[BOT  ]    www.wikidata.org | drift=1.94ms | exec=0.09ms | total=2.03ms | DEADLINE MISS
[BOT  ]    www.wikidata.org | drift=1.55ms | exec=0.07ms | total=1.62ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=0.87ms | exec=0.09ms | total=0.96ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=1.35ms | exec=0.06ms | total=1.41ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=11.75ms | exec=0.25ms | total=12.01ms | DEADLINE MISS
[BOT  ]    commons.wikimedia.org | drift=0.06ms | exec=0.11ms | total=0.18ms | DEADLINE MET 
[BOT  ]    en.wiktionary.org | drift=2.52ms | exec=0.36ms | total=2.88ms | DEADLINE MISS
[BOT  ]    commons.wikimedia.org | drift=0.49ms | exec=0.10ms | total=0.59ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=1.17ms | exec=0.13ms | total=1.30ms | DEADLINE MET 
[HUMAN]    he.wikipedia.org | drift=1.26ms | exec=0.10ms | total=1.35ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=1.95ms | exec=0.10ms | total=2.05ms | DEADLINE MISS
[BOT  ]    commons.wikimedia.org | drift=0.97ms | exec=0.09ms | total=1.07ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=0.34ms | exec=0.09ms | total=0.43ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=3.44ms | exec=0.07ms | total=3.52ms | DEADLINE MISS
[HUMAN]    commons.wikimedia.org | drift=3.91ms | exec=0.09ms | total=4.00ms | DEADLINE MISS
[HUMAN]    commons.wikimedia.org | drift=3.25ms | exec=0.08ms | total=3.33ms | DEADLINE MISS
[BOT  ]    commons.wikimedia.org | drift=4.25ms | exec=0.08ms | total=4.34ms | DEADLINE MISS
[BOT  ]    en.wiktionary.org | drift=4.18ms | exec=0.04ms | total=4.22ms | DEADLINE MISS
[BOT  ]    commons.wikimedia.org | drift=3.82ms | exec=0.05ms | total=3.88ms | DEADLINE MISS
[DEGRADED]  miss_rate=55% > 50% | Mode: DEGRADED (bot edits skipped)
[HUMAN]    en.wikivoyage.org | drift=10.20ms | exec=0.12ms | total=10.32ms | DEADLINE MISS
[HUMAN]    en.wikipedia.org | drift=6.33ms | exec=0.04ms | total=6.37ms | DEADLINE MISS
[HUMAN]    en.wikipedia.org | drift=5.54ms | exec=0.03ms | total=5.57ms | DEADLINE MISS
[HUMAN]    commons.wikimedia.org | drift=4.03ms | exec=0.03ms | total=4.06ms | DEADLINE MISS
[HUMAN]    commons.wikimedia.org | drift=1.03ms | exec=0.03ms | total=1.07ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=0.68ms | exec=0.03ms | total=0.71ms | DEADLINE MET 
[HUMAN]    www.wikidata.org | drift=15.52ms | exec=0.17ms | total=15.69ms | DEADLINE MISS
[HUMAN]    ja.wikipedia.org | drift=1.28ms | exec=0.16ms | total=1.44ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=0.52ms | exec=0.05ms | total=0.57ms | DEADLINE MET 
[HUMAN]    www.wikidata.org | drift=1.22ms | exec=0.04ms | total=1.26ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=1.33ms | exec=0.17ms | total=1.50ms | DEADLINE MET 
[HUMAN]    www.wikidata.org | drift=0.45ms | exec=0.06ms | total=0.51ms | DEADLINE MET 
[HUMAN]    www.wikidata.org | drift=13.58ms | exec=0.07ms | total=13.64ms | DEADLINE MISS
[HUMAN]    www.wikidata.org | drift=9.83ms | exec=0.08ms | total=9.91ms | DEADLINE MISS
[HUMAN]    www.wikidata.org | drift=0.39ms | exec=0.09ms | total=0.48ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=0.06ms | exec=0.05ms | total=0.11ms | DEADLINE MET 
[HUMAN]    es.wikipedia.org | drift=1.74ms | exec=0.04ms | total=1.78ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=1.36ms | exec=0.03ms | total=1.39ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=1.21ms | exec=0.04ms | total=1.26ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=0.61ms | exec=0.02ms | total=0.64ms | DEADLINE MET 
[HUMAN]    www.wikidata.org | drift=0.88ms | exec=0.04ms | total=0.92ms | DEADLINE MET 
[HUMAN]    www.wikidata.org | drift=0.49ms | exec=0.03ms | total=0.53ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=0.31ms | exec=0.02ms | total=0.34ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=1.33ms | exec=0.06ms | total=1.39ms | DEADLINE MET 
[RECOVER]   miss_rate=15% < 20% | Mode: NORMAL
[HUMAN]    commons.wikimedia.org | drift=0.61ms | exec=0.05ms | total=0.66ms | DEADLINE MET 
[HUMAN]    en.wiktionary.org | drift=0.17ms | exec=0.09ms | total=0.26ms | DEADLINE MET 
[BOT  ]    zh.wikipedia.org | drift=3477.50ms | exec=0.09ms | total=3477.59ms | DEADLINE MISS
[BOT  ]    commons.wikimedia.org | drift=2822.08ms | exec=0.09ms | total=2822.17ms | DEADLINE MISS
[BOT  ]    en.wiktionary.org | drift=2821.98ms | exec=0.05ms | total=2822.03ms | DEADLINE MISS
[BOT  ]    www.wikidata.org | drift=2821.75ms | exec=0.16ms | total=2821.91ms | DEADLINE MISS
[BOT  ]    commons.wikimedia.org | drift=2298.21ms | exec=0.07ms | total=2298.28ms | DEADLINE MISS
[BOT  ]    commons.wikimedia.org | drift=2291.38ms | exec=0.06ms | total=2291.43ms | DEADLINE MISS
[BOT  ]    en.wikipedia.org | drift=1711.79ms | exec=0.05ms | total=1711.84ms | DEADLINE MISS
[BOT  ]    ur.wikipedia.org | drift=1711.50ms | exec=0.21ms | total=1711.70ms | DEADLINE MISS
[HUMAN]    www.wikidata.org | drift=0.16ms | exec=0.14ms | total=0.30ms | DEADLINE MET 
