[INGEST]    Connecting to Wikipedia SSE stream (threaded)...
[INGEST] Read error: error decoding response body
[INGEST]    Connecting to Wikipedia SSE stream (threaded)...
[BOT  ]    commons.wikimedia.org | drift=1.69ms | exec=0.15ms | total=1.84ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=3.01ms | exec=0.06ms | total=3.07ms | DEADLINE MISS
[HUMAN]    mk.wikipedia.org | drift=0.55ms | exec=0.11ms | total=0.66ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=0.79ms | exec=0.04ms | total=0.83ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=0.92ms | exec=0.16ms | total=1.08ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=0.66ms | exec=0.12ms | total=0.79ms | DEADLINE MET 
[BOT  ]    en.wiktionary.org | drift=0.90ms | exec=0.12ms | total=1.02ms | DEADLINE MET 
[BOT  ]    ur.wikipedia.org | drift=0.66ms | exec=0.10ms | total=0.76ms | DEADLINE MET 
[BOT  ]    www.wikidata.org | drift=0.31ms | exec=0.07ms | total=0.38ms | DEADLINE MET 
[HUMAN]    pt.wikipedia.org | drift=0.30ms | exec=0.06ms | total=0.36ms | DEADLINE MET 
[BOT  ]    en.wiktionary.org | drift=0.75ms | exec=0.06ms | total=0.80ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=1.53ms | exec=0.05ms | total=1.59ms | DEADLINE MET 
[BOT  ]    en.wiktionary.org | drift=1.13ms | exec=0.04ms | total=1.17ms | DEADLINE MET 
[BOT  ]    pl.wikipedia.org | drift=0.56ms | exec=0.05ms | total=0.62ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=0.51ms | exec=0.05ms | total=0.56ms | DEADLINE MET 
[BOT  ]    en.wikipedia.org | drift=0.51ms | exec=0.04ms | total=0.55ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=0.44ms | exec=0.06ms | total=0.50ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=0.38ms | exec=0.05ms | total=0.43ms | DEADLINE MET 
[BOT  ]    www.wikidata.org | drift=0.31ms | exec=0.05ms | total=0.36ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=0.19ms | exec=0.08ms | total=0.26ms | DEADLINE MET 
[HUMAN]    www.wikidata.org | drift=0.56ms | exec=0.05ms | total=0.61ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=0.19ms | exec=0.08ms | total=0.27ms | DEADLINE MET 
[HUMAN]    fr.wikipedia.org | drift=0.66ms | exec=0.10ms | total=0.76ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=0.05ms | exec=0.09ms | total=0.14ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=1.57ms | exec=0.03ms | total=1.60ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=0.74ms | exec=0.03ms | total=0.76ms | DEADLINE MET 
[HUMAN]    id.wikipedia.org | drift=1.27ms | exec=0.08ms | total=1.35ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=0.56ms | exec=0.09ms | total=0.64ms | DEADLINE MET 
[BOT  ]    en.wiktionary.org | drift=0.94ms | exec=0.12ms | total=1.06ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=1.54ms | exec=0.09ms | total=1.63ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=1.33ms | exec=0.11ms | total=1.44ms | DEADLINE MET 
[HUMAN]    vi.wikipedia.org | drift=0.21ms | exec=0.10ms | total=0.31ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=1.27ms | exec=0.06ms | total=1.33ms | DEADLINE MET 
[BOT  ]    en.wiktionary.org | drift=0.01ms | exec=0.05ms | total=0.06ms | DEADLINE MET 
[BOT  ]    ur.wikipedia.org | drift=1.36ms | exec=0.04ms | total=1.39ms | DEADLINE MET 
[BOT  ]    www.wikidata.org | drift=0.63ms | exec=0.04ms | total=0.67ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=1.30ms | exec=0.04ms | total=1.34ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=1.57ms | exec=0.04ms | total=1.60ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=0.45ms | exec=0.06ms | total=0.51ms | DEADLINE MET 
[HUMAN]    en.wikibooks.org | drift=0.23ms | exec=0.04ms | total=0.28ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=0.88ms | exec=0.03ms | total=0.90ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=0.65ms | exec=0.06ms | total=0.71ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=0.88ms | exec=0.13ms | total=1.01ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=0.53ms | exec=0.11ms | total=0.63ms | DEADLINE MET 
[BOT  ]    uk.wikipedia.org | drift=0.03ms | exec=0.20ms | total=0.24ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=1.20ms | exec=0.24ms | total=1.44ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=1.85ms | exec=0.19ms | total=2.04ms | DEADLINE MISS
[BOT  ]    en.wiktionary.org | drift=0.06ms | exec=0.11ms | total=0.18ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=1.41ms | exec=0.07ms | total=1.48ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=1.04ms | exec=0.10ms | total=1.14ms | DEADLINE MET 
[BOT  ]    en.wiktionary.org | drift=0.04ms | exec=0.05ms | total=0.09ms | DEADLINE MET 
[BOT  ]    www.wikidata.org | drift=0.54ms | exec=0.09ms | total=0.63ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=0.50ms | exec=0.18ms | total=0.68ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=0.53ms | exec=0.09ms | total=0.62ms | DEADLINE MET 
[HUMAN]    it.wikipedia.org | drift=0.83ms | exec=0.21ms | total=1.04ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=0.91ms | exec=0.22ms | total=1.13ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=0.18ms | exec=0.23ms | total=0.42ms | DEADLINE MET 
[BOT  ]    en.wikipedia.org | drift=0.72ms | exec=0.15ms | total=0.87ms | DEADLINE MET 
[HUMAN]    id.wikipedia.org | drift=0.33ms | exec=0.12ms | total=0.45ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=0.20ms | exec=0.13ms | total=0.33ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=1.61ms | exec=0.10ms | total=1.71ms | DEADLINE MET 
[BOT  ]    en.wiktionary.org | drift=1.38ms | exec=0.11ms | total=1.49ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=0.95ms | exec=0.06ms | total=1.02ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=1.03ms | exec=0.04ms | total=1.07ms | DEADLINE MET 
[BOT  ]    www.wikidata.org | drift=0.22ms | exec=0.08ms | total=0.30ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=1.12ms | exec=0.09ms | total=1.22ms | DEADLINE MET 
[HUMAN]    es.wikipedia.org | drift=0.14ms | exec=0.08ms | total=0.22ms | DEADLINE MET 
[BOT  ]    zh.wikipedia.org | drift=0.72ms | exec=0.05ms | total=0.77ms | DEADLINE MET 
[BOT  ]    en.wiktionary.org | drift=1.30ms | exec=0.04ms | total=1.35ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=0.05ms | exec=0.03ms | total=0.07ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=0.27ms | exec=0.03ms | total=0.30ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=1.36ms | exec=0.03ms | total=1.39ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=0.04ms | exec=0.06ms | total=0.10ms | DEADLINE MET 
[BOT  ]    fr.wikipedia.org | drift=1.17ms | exec=0.24ms | total=1.41ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=0.43ms | exec=0.13ms | total=0.56ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=0.09ms | exec=0.07ms | total=0.16ms | DEADLINE MET 
[HUMAN]    simple.wikipedia.org | drift=1.65ms | exec=0.10ms | total=1.74ms | DEADLINE MET 
[HUMAN]    ja.wikipedia.org | drift=0.36ms | exec=0.06ms | total=0.42ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=1.16ms | exec=0.08ms | total=1.24ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=1.10ms | exec=0.04ms | total=1.15ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=0.08ms | exec=0.20ms | total=0.27ms | DEADLINE MET 
[BOT  ]    en.wiktionary.org | drift=0.66ms | exec=0.05ms | total=0.71ms | DEADLINE MET 
