[INGEST]    Connecting to Wikipedia SSE stream...
[HUMAN]    en.wikipedia.org | drift=0.30ms | exec=0.17ms | total=0.47ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=1.17ms | exec=0.07ms | total=1.24ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=0.33ms | exec=0.05ms | total=0.38ms | DEADLINE MET 
[BOT  ]    en.wiktionary.org | drift=0.12ms | exec=0.04ms | total=0.16ms | DEADLINE MET 
[HUMAN]    www.wikidata.org | drift=6.35ms | exec=0.09ms | total=6.44ms | DEADLINE MISS
[HUMAN]    www.wikidata.org | drift=9.15ms | exec=0.10ms | total=9.25ms | DEADLINE MISS
[BOT  ]    en.wiktionary.org | drift=9.69ms | exec=0.05ms | total=9.74ms | DEADLINE MISS
[HUMAN]    commons.wikimedia.org | drift=5.96ms | exec=0.11ms | total=6.07ms | DEADLINE MISS
[HUMAN]    zh.wikipedia.org | drift=5.81ms | exec=0.05ms | total=5.86ms | DEADLINE MISS
[HUMAN]    commons.wikimedia.org | drift=5.61ms | exec=0.05ms | total=5.65ms | DEADLINE MISS
[HUMAN]    en.wikipedia.org | drift=5.11ms | exec=0.06ms | total=5.16ms | DEADLINE MISS
[BOT  ]    www.wikidata.org | drift=6.14ms | exec=0.06ms | total=6.20ms | DEADLINE MISS
[BOT  ]    commons.wikimedia.org | drift=5.14ms | exec=0.07ms | total=5.22ms | DEADLINE MISS
[BOT  ]    www.wikidata.org | drift=1.52ms | exec=0.07ms | total=1.59ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=1.49ms | exec=0.11ms | total=1.60ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=2.67ms | exec=0.06ms | total=2.73ms | DEADLINE MISS
[HUMAN]    www.wikidata.org | drift=1.22ms | exec=0.06ms | total=1.28ms | DEADLINE MET 
[BOT  ]    id.wikipedia.org | drift=1.81ms | exec=0.04ms | total=1.84ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=8.42ms | exec=0.06ms | total=8.49ms | DEADLINE MISS
[HUMAN]    en.wikipedia.org | drift=4.97ms | exec=0.07ms | total=5.04ms | DEADLINE MISS
[DEGRADED]  miss_rate=60% > 50% | Mode: DEGRADED (bot edits skipped)
[HUMAN]    www.wikidata.org | drift=4.87ms | exec=0.07ms | total=4.94ms | DEADLINE MISS
[HUMAN]    en.wikipedia.org | drift=2.09ms | exec=0.06ms | total=2.15ms | DEADLINE MISS
[HUMAN]    vi.wikisource.org | drift=0.64ms | exec=0.05ms | total=0.68ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=0.46ms | exec=0.06ms | total=0.51ms | DEADLINE MET 
[HUMAN]    www.wikidata.org | drift=10.39ms | exec=0.12ms | total=10.51ms | DEADLINE MISS
[HUMAN]    www.wikidata.org | drift=1.48ms | exec=0.08ms | total=1.57ms | DEADLINE MET 
[HUMAN]    ko.wikipedia.org | drift=0.06ms | exec=0.06ms | total=0.11ms | DEADLINE MET 
[HUMAN]    www.wikidata.org | drift=16.95ms | exec=0.18ms | total=17.13ms | DEADLINE MISS
[HUMAN]    it.wikipedia.org | drift=1.26ms | exec=0.07ms | total=1.33ms | DEADLINE MET 
[HUMAN]    www.wikidata.org | drift=0.87ms | exec=0.05ms | total=0.92ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=12.38ms | exec=0.16ms | total=12.54ms | DEADLINE MISS
[HUMAN]    www.wikidata.org | drift=10.71ms | exec=0.19ms | total=10.91ms | DEADLINE MISS
[HUMAN]    en.wikipedia.org | drift=0.63ms | exec=0.10ms | total=0.72ms | DEADLINE MET 
[HUMAN]    www.wikidata.org | drift=0.21ms | exec=0.13ms | total=0.34ms | DEADLINE MET 
[HUMAN]    www.wikidata.org | drift=0.30ms | exec=0.09ms | total=0.39ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=2.86ms | exec=0.07ms | total=2.93ms | DEADLINE MISS
[HUMAN]    www.wikidata.org | drift=1.12ms | exec=0.14ms | total=1.26ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=0.41ms | exec=0.07ms | total=0.49ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=0.01ms | exec=0.07ms | total=0.07ms | DEADLINE MET 
[HUMAN]    www.wikidata.org | drift=2.98ms | exec=0.09ms | total=3.07ms | DEADLINE MISS
[HUMAN]    www.wikidata.org | drift=1.19ms | exec=0.06ms | total=1.26ms | DEADLINE MET 
[HUMAN]    www.wikidata.org | drift=1.61ms | exec=0.06ms | total=1.67ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=1.86ms | exec=0.05ms | total=1.91ms | DEADLINE MET 
[HUMAN]    www.wikidata.org | drift=0.61ms | exec=0.17ms | total=0.78ms | DEADLINE MET 
[HUMAN]    www.wikidata.org | drift=0.24ms | exec=0.23ms | total=0.47ms | DEADLINE MET 
[HUMAN]    zh.wikipedia.org | drift=3.06ms | exec=0.12ms | total=3.18ms | DEADLINE MISS
[HUMAN]    en.wikipedia.org | drift=7.16ms | exec=0.29ms | total=7.45ms | DEADLINE MISS
[HUMAN]    en.wikipedia.org | drift=11.49ms | exec=0.09ms | total=11.58ms | DEADLINE MISS
[HUMAN]    www.wikidata.org | drift=1.35ms | exec=0.09ms | total=1.45ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=0.50ms | exec=0.06ms | total=0.56ms | DEADLINE MET 
[HUMAN]    www.wikidata.org | drift=4.12ms | exec=0.09ms | total=4.21ms | DEADLINE MISS
[HUMAN]    es.wikipedia.org | drift=3.68ms | exec=0.05ms | total=3.73ms | DEADLINE MISS
[HUMAN]    www.wikidata.org | drift=3.13ms | exec=0.07ms | total=3.21ms | DEADLINE MISS
[HUMAN]    en.wikipedia.org | drift=2.50ms | exec=0.05ms | total=2.55ms | DEADLINE MISS
[HUMAN]    en.wikipedia.org | drift=2.24ms | exec=0.03ms | total=2.27ms | DEADLINE MISS
[HUMAN]    www.wikidata.org | drift=0.76ms | exec=0.07ms | total=0.82ms | DEADLINE MET 
[HUMAN]    ja.wikipedia.org | drift=0.24ms | exec=0.04ms | total=0.28ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=0.11ms | exec=0.03ms | total=0.15ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=1.96ms | exec=0.08ms | total=2.04ms | DEADLINE MISS
[HUMAN]    www.wikidata.org | drift=16.23ms | exec=0.09ms | total=16.32ms | DEADLINE MISS
[HUMAN]    www.wikidata.org | drift=2.47ms | exec=0.12ms | total=2.59ms | DEADLINE MISS
[HUMAN]    ta.wikipedia.org | drift=1.61ms | exec=0.06ms | total=1.67ms | DEADLINE MET 
[HUMAN]    www.wikidata.org | drift=1.26ms | exec=0.07ms | total=1.34ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=0.52ms | exec=0.03ms | total=0.55ms | DEADLINE MET 
[HUMAN]    www.wikidata.org | drift=12.90ms | exec=0.14ms | total=13.04ms | DEADLINE MISS
[HUMAN]    en.wikipedia.org | drift=0.09ms | exec=0.05ms | total=0.14ms | DEADLINE MET 
[HUMAN]    www.wikidata.org | drift=2.25ms | exec=0.36ms | total=2.61ms | DEADLINE MISS
[HUMAN]    www.wikidata.org | drift=1.34ms | exec=0.06ms | total=1.40ms | DEADLINE MET 
[HUMAN]    www.wikidata.org | drift=2.19ms | exec=0.06ms | total=2.25ms | DEADLINE MISS
[HUMAN]    en.wikipedia.org | drift=3.47ms | exec=0.10ms | total=3.57ms | DEADLINE MISS
[HUMAN]    ja.wikipedia.org | drift=1.52ms | exec=0.04ms | total=1.56ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=1.22ms | exec=0.03ms | total=1.26ms | DEADLINE MET 
[HUMAN]    www.wikidata.org | drift=0.80ms | exec=0.04ms | total=0.84ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=0.47ms | exec=0.03ms | total=0.50ms | DEADLINE MET 
[HUMAN]    www.wikidata.org | drift=2.17ms | exec=0.18ms | total=2.35ms | DEADLINE MISS
[HUMAN]    en.wikipedia.org | drift=0.86ms | exec=0.12ms | total=0.98ms | DEADLINE MET 
[HUMAN]    www.wikidata.org | drift=0.42ms | exec=0.06ms | total=0.48ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=0.01ms | exec=0.04ms | total=0.04ms | DEADLINE MET 
[HUMAN]    pt.wikipedia.org | drift=2.89ms | exec=0.26ms | total=3.15ms | DEADLINE MISS
[HUMAN]    en.wikipedia.org | drift=0.72ms | exec=0.12ms | total=0.85ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=0.77ms | exec=0.08ms | total=0.85ms | DEADLINE MET 
[HUMAN]    th.wikipedia.org | drift=0.28ms | exec=0.07ms | total=0.35ms | DEADLINE MET 
[HUMAN]    www.wikidata.org | drift=1.88ms | exec=0.16ms | total=2.04ms | DEADLINE MISS
[HUMAN]    www.wikidata.org | drift=0.55ms | exec=0.12ms | total=0.67ms | DEADLINE MET 
