[INGEST]    Connecting to Wikipedia SSE stream (threaded)...
[HUMAN]    en.wikipedia.org | drift=0.27ms | exec=0.29ms | total=0.56ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=0.43ms | exec=0.12ms | total=0.55ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=0.49ms | exec=0.06ms | total=0.56ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=0.13ms | exec=0.09ms | total=0.22ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=0.07ms | exec=0.15ms | total=0.21ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=1.03ms | exec=0.07ms | total=1.10ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=1.26ms | exec=0.06ms | total=1.32ms | DEADLINE MET 
[HUMAN]    www.wikidata.org | drift=0.44ms | exec=0.05ms | total=0.49ms | DEADLINE MET 
[BOT  ]    www.wikidata.org | drift=0.29ms | exec=0.03ms | total=0.33ms | DEADLINE MET 
[BOT  ]    en.wikipedia.org | drift=0.34ms | exec=0.09ms | total=0.43ms | DEADLINE MET 
[HUMAN]    www.wikidata.org | drift=1.52ms | exec=0.15ms | total=1.67ms | DEADLINE MET 
[BOT  ]    www.wikidata.org | drift=0.97ms | exec=0.13ms | total=1.11ms | DEADLINE MET 
[BOT  ]    en.wiktionary.org | drift=0.67ms | exec=0.06ms | total=0.73ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=0.24ms | exec=0.11ms | total=0.35ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=0.89ms | exec=0.07ms | total=0.96ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=0.92ms | exec=0.05ms | total=0.97ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=0.92ms | exec=0.04ms | total=0.97ms | DEADLINE MET 
[BOT  ]    en.wiktionary.org | drift=0.41ms | exec=0.08ms | total=0.49ms | DEADLINE MET 
[HUMAN]    en.wikipedia.org | drift=1.33ms | exec=0.05ms | total=1.37ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=1.25ms | exec=0.05ms | total=1.30ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=0.99ms | exec=0.08ms | total=1.08ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=0.04ms | exec=0.09ms | total=0.13ms | DEADLINE MET 
[BOT  ]    www.wikidata.org | drift=1.02ms | exec=0.07ms | total=1.08ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=0.93ms | exec=0.04ms | total=0.98ms | DEADLINE MET 
[BOT  ]    fr.wikipedia.org | drift=0.75ms | exec=0.05ms | total=0.79ms | DEADLINE MET 
[BOT  ]    commons.wikimedia.org | drift=0.77ms | exec=0.06ms | total=0.83ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=1.43ms | exec=0.03ms | total=1.46ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=0.84ms | exec=0.03ms | total=0.87ms | DEADLINE MET 
[HUMAN]    commons.wikimedia.org | drift=1.62ms | exec=0.05ms | total=1.67ms | DEADLINE MET 
